Strain,Diet,Brood,BroodID,larval_weight_mg,survival_%,waste_reduction_rate_%,larval_protein_%,Start_BSFL,End_BSFL,Dead,BSF_larval_number,BSF_prepupa_number,development_rate_%
EVE,Control,1,B1,140.7526882,1,0.807197943,0.3958,93,93,0,13,80,0.860215054
EVE,Control,2,B2,153.4444444,0.967741935,0.753213368,0.3987,93,90,3,0,90,1
EVE,Control,3,B3,156.6666667,1,0.790488432,0.4089,93,93,0,2,91,0.978494624
EVE,Control,4,B4,153.3333333,1,0.766066838,0.3889,93,93,0,0,93,1
EVE,Control,5,B5,156.8478261,0.989247312,0.777634961,0.3901,93,92,1,2,90,0.97826087
EVE,Control,6,B6,153.8709677,1,0.79562982,0.3803,93,93,0,3,90,0.967741935
EVE,Spent Brewing Grain,1,B1,140.2150538,1,0.589974293,0.3532,93,93,0,35,58,0.623655914
EVE,Spent Brewing Grain,2,B2,141.7391304,0.989247312,0.580976864,0.3808,93,92,1,44,47,0.510869565
EVE,Spent Brewing Grain,3,B3,142.2222222,0.967741935,0.519280206,0.3449,93,90,3,66,23,0.255555556
EVE,Spent Brewing Grain,4,B4,135.0561798,0.956989247,0.543701799,0.3572,93,89,4,44,45,0.505617978
EVE,Spent Brewing Grain,5,B5,143.3695652,0.989247312,0.577120823,0.387,93,92,1,45,47,0.510869565
EVE,Spent Brewing Grain,6,B6,135.5913978,1,0.568123393,0.3656,93,93,0,70,23,0.247311828
EVE,Manure,1,B1,31.03448276,0.935483871,0.322622108,0.3227,93,87,6,85,2,0.022988506
EVE,Manure,2,B2,27.34939759,0.892473118,0.276349614,0.3294,93,83,10,81,2,0.024096386
EVE,Manure,3,B3,31.11111111,0.870967742,0.29562982,0.3691,93,81,12,80,1,0.012345679
EVE,Manure,4,B4,24.09638554,0.892473118,0.284061697,0.3729,93,83,10,82,1,0.012048193
EVE,Manure,5,B5,29.27710843,0.892473118,0.278920308,0.3058,93,83,10,81,2,0.024096386
Industry-strain-C,Control,7,B7,139.2473118,1,0.686375321,0.4232,93,93,0,2,91,0.978494624
Industry-strain-C,Control,8,B8,153.7362637,0.978494624,0.814910026,0.3972,93,91,2,2,89,0.978021978
Industry-strain-C,Control,9,B9,137.3913043,0.989247312,0.777634961,0.3803,93,92,1,2,90,0.97826087
Industry-strain-C,Control,10,B10,137.7419355,1,0.757069409,0.3525,93,93,0,2,91,0.978494624
Industry-strain-C,Control,11,B11,143.0434783,0.989247312,0.777634961,0.3575,93,92,1,4,88,0.956521739
Industry-strain-C,Control,12,B12,148.3870968,1,0.78277635,0.3365,93,93,0,1,92,0.989247312
Industry-strain-C,Spent Brewing Grain,7,B7,135.8064516,1,0.453727506,0.2637,93,93,0,28,65,0.698924731
Industry-strain-C,Spent Brewing Grain,8,B8,134.8913043,0.989247312,0.568123393,0.4448,93,92,1,32,60,0.652173913
Industry-strain-C,Spent Brewing Grain,9,B9,136.1111111,0.967741935,0.535989717,0.4439,93,90,3,23,67,0.744444444
Industry-strain-C,Spent Brewing Grain,10,B10,135.326087,0.989247312,0.548843188,0.4248,93,92,1,33,59,0.641304348
Industry-strain-C,Spent Brewing Grain,11,B11,135.7777778,0.967741935,0.5,0.4432,93,90,3,28,62,0.688888889
Industry-strain-C,Spent Brewing Grain,12,B12,134.8351648,0.978494624,0.539845758,0.4013,93,91,2,28,63,0.692307692
Industry-strain-C,Manure,7,B7,40.22727273,0.946236559,0.257069409,0.4086,93,88,5,87,1,0.011363636
Industry-strain-C,Manure,8,B8,39.77777778,0.967741935,0.235218509,0.3917,93,90,3,89,1,0.011111111
Industry-strain-C,Manure,9,B9,42.22222222,0.870967742,0.309768638,0.3311,93,81,12,78,3,0.037037037
Industry-strain-C,Manure,10,B10,40.95238095,0.903225806,0.245501285,0.3244,93,84,9,84,0,0
Industry-strain-C,Manure,11,B11,43.44444444,0.967741935,0.269922879,0.2632,93,90,3,90,0,0
Industry-strain-C,Manure,12,B12,42.79069767,0.924731183,0.293059126,0.3325,93,86,7,85,1,0.011627907
Industry-strain-A,Control,13,B13,138.3333333,0.967741935,0.784061697,0.3173,93,90,3,1,89,0.988888889
Industry-strain-A,Control,14,B14,147.6923077,0.978494624,0.789203085,0.4094,93,91,2,0,91,1
Industry-strain-A,Control,15,B15,147.3563218,0.935483871,0.772493573,0.4605,93,87,6,0,87,1
Industry-strain-A,Control,16,B16,149.4444444,0.967741935,0.789203085,0.3634,93,90,3,5,85,0.944444444
Industry-strain-A,Control,17,B17,156.5168539,0.956989247,0.794344473,0.3677,93,89,4,5,83,0.93258427
Industry-strain-A,Control,18,B18,148.4946237,1,0.784061697,0.4039,93,93,0,2,91,0.978494624
Industry-strain-A,Spent Brewing Grain,13,B13,140.2197802,0.978494624,0.555269923,0.3722,93,91,2,27,64,0.703296703
Industry-strain-A,Spent Brewing Grain,14,B14,136.25,0.946236559,0.575835476,0.3782,93,88,5,23,65,0.738636364
Industry-strain-A,Spent Brewing Grain,15,B15,142.0430108,1,0.586118252,0.3544,93,93,0,25,68,0.731182796
Industry-strain-A,Spent Brewing Grain,16,B16,135.483871,1,0.609254499,0.3915,93,93,0,23,70,0.752688172
Industry-strain-A,Spent Brewing Grain,17,B17,139.7619048,0.903225806,0.559125964,0.3018,93,84,9,19,65,0.773809524
Industry-strain-A,Spent Brewing Grain,18,B18,137.3333333,0.967741935,0.606683805,0.3679,93,90,3,20,70,0.777777778
Industry-strain-A,Manure,13,B13,40,0.870967742,0.253213368,0.3751,93,81,12,80,1,0.012345679
Industry-strain-A,Manure,14,B14,34.41860465,0.924731183,0.28277635,0.3289,93,86,7,86,0,0
Industry-strain-A,Manure,15,B15,38.06451613,1,0.200514139,0.3032,93,93,0,93,0,0
Industry-strain-A,Manure,16,B16,37.28395062,0.870967742,0.206940874,0.3287,93,81,12,81,0,0
Industry-strain-A,Manure,17,B17,42.2826087,0.989247312,0.375321337,0.3158,93,92,1,91,1,0.010869565
Industry-strain-A,Manure,18,B18,39.11111111,0.967741935,0.268637532,0.363,93,90,3,89,1,0.011111111
